JW_ID,ECK number,B number,Gene name K-12,Locus name K-12,Synonyms of locus names K-12,Solubility(%),Yield(uM),Yield(ug/ml),Minus Sol,TF Sol,GroE Sol,KJE Sol,Minus(uM),TF(uM),GroE(uM),KJE(uM),Minus(ug/ml),TF(ug/ml),GroE(ug/ml),KJE(ug/ml),Calculated MW(kDa),Calculated pI,Type of gene product,Gene product description,Cell location,Structure (PDB) id,SCOP assignment
JW0998,ECK1004,b1013,ycdC,ycdC,,80.0,0.8,19.0,,,,,,,,,,,,,23.7,9.6,pr,predicted DNA-binding transcriptional regulator,Cytoplasmic,,46689; Homeodomain-like
JW1003,ECK1008,b1018,ycdO,ycdO,,43.0,1.4,57.0,,,,,,,,,,,,,41.1,5.3,o,conserved protein,Periplasmic,,
JW1004,ECK1009,b1019,ycdB,ycdB,,34.0,0.8,38.0,,,,,,,,,,,,,46.7,7.1,o,conserved protein,Periplasmic,,
JW1006,ECK1011,b1021,ycdP,ycdP,hmsS -!- pgaD,10.0,2.5,40.0,,,,,,,,,,,,,16.1,10.1,pm,predicted inner membrane protein,Integral Membrane Protein,,
JW1007,ECK1012,b1022,ycdQ,ycdQ,hmsR -!- pgaC,18.0,0.1,4.0,,,,,,,,,,,,,50.7,9.0,pe,predicted glycosyl transferase,Integral Membrane Protein,,53448; Nucleotide-diphospho-sugar transferases
JW5459,ECK2855,b2857,ygeM,ygeM,,72.0,1.0,16.0,,,,,,,,,,,,,16.7,5.5,o,predicted protein,Cytoplasmic,,
JW5142,ECK1013,b1023,ycdR,ycdR,hmsF -!- pgaB,15.0,0.5,37.0,,,,,,,,,,,,,77.3,6.2,pe,predicted enzyme associated with biofilm formation,Outer Membrane Lipoprotein,,
JW1010,ECK1014,b1024,ycdS,ycdS,hmsH -!- pgaA,7.0,0.2,16.0,,,,,,,,,,,,,92.1,6.4,pm,predicted outer membrane protein,Outer Membrane B-barrel protein,,48439; Protein prenylyltransferase
JW5619,ECK3702,b3709,tnaB,tnaB,,6.0,2.3,38.0,,,,,,,,,,,,,16.3,10.3,t,tryptophan transporter of low affinity,Integral Membrane Protein,,
JW5145,ECK1016,b1028,ymdE,ymdE,,21.0,3.0,33.0,26.96,58.67,30.67,99.52,2.876,3.437,3.251,3.006,32.41,38.72,36.62,33.87,11.267,7.95,su,predicted protein (pseudogene),Cytoplasmic,,52151; Catalytic domain of malonyl-CoA ACP transacylase
JW1017,ECK1020,b1034,ycdX,ycdX,,100.0,1.0,27.0,,,,,,,,,,,,,26.9,6.1,pe,predicted zinc-binding hydrolase,Cytoplasmic,,
JW1018,ECK1021,b1035,ycdY,ycdY,,90.0,0.4,9.0,,,,,,,,,,,,,20.7,4.3,o,conserved protein,Cytoplasmic,,
JW1020,ECK1023,b1037,csgG,csgG,,44.0,1.5,45.0,,,,,,,,,,,,,30.5,8.2,lp,outer membrane lipoprotein,Outer Membrane Lipoprotein,,
JW1021,ECK1024,b1038,csgF,csgF,,30.0,2.9,44.0,,,,,,,,,,,,,15.0,8.2,pt,predicted transport protein,Periplasmic,,
JW1022,ECK1025,b1039,csgE,csgE,,15.0,4.3,63.0,,,,,,,,,,,,,14.9,6.4,pt,predicted  transport protein,Periplasmic,,
JW1026,ECK1029,b1043,csgC,csgC,ycdE,69.0,1.5,18.0,,,,,,,,,,,,,12.0,8.2,pf,predicted curli production protein,Periplasmic,,
JW1031,ECK1030,b1044,ymdA,ymdA,,37.0,2.4,27.0,,,,,,,,,,,,,11.2,9.6,o,predicted protein,Periplasmic,,
JW1032,ECK1031,b1045,ymdB,ymdB,,82.0,1.3,24.0,,,,,,,,,,,,,18.9,6.4,o,conserved protein,Cytoplasmic,1SPV,
JW5150,ECK1032,b1046,ymdC,ymdC,,22.0,0.2,11.0,19.06,36.17,85.07,114.97,0.225,0.216,0.222,0.178,12.06,11.6,11.91,9.55,53.623,9.64,pe,predicted hydrolase,Cytoplasmic,,56024; Phospholipase D/nuclease
JW1035,ECK1034,b1048,mdoG,mdoG,opgG -!- mdoA,24.0,0.4,24.0,,,,,,,,,,,,,57.9,8.1,e,"glucan biosynthesis protein, periplasmic",Periplasmic,,
JW1037,ECK1035,b1049,mdoH,mdoH,mdoA,4.0,0.1,12.0,,,,,,,,,,,,,96.9,8.9,e,glucan biosynthesis: glycosyl transferase,Integral Membrane Protein,,53448; Nucleotide-diphospho-sugar transferases
JW1039,ECK1037,b1051,msyB,msyB,,91.0,3.1,43.0,,,,,,,,,,,,,14.2,3.8,o,predicted protein,Cytoplasmic,,
JW1041,ECK1039,b1054,lpxL,lpxL,htrB -!- waaM,12.0,1.5,52.0,,,,,,,,,,,,,35.4,10.3,e,lauryl-acyl carrier protein (ACP)-dependent acyltransferase,Membrane Anchored,,
JW1043,ECK1041,b1056,yceI,yceI,,69.0,1.9,40.0,,,,,,,,,,,,,20.9,6.7,o,predicted protein,Periplasmic,,
JW0658,ECK0653,b0661,miaB,miaB,yleA,71.0,1.4,74.0,,,,,,,,,,,,,53.6,5.5,e,isopentenyl-adenosine A37 tRNA methylthiolase,Cytoplasmic,,
JW5844,ECK2752,b2757,ygcI,ygcI,,15.0,0.7,17.0,9.07,13.4,70.19,32.68,1.106,1.168,1.238,1.126,27.86,29.43,31.19,28.36,25.186,7.84,o,predicted protein,Cytoplasmic,,
JW1505,ECK1505,b1512,ydeW,ydeW,,19.0,0.5,16.0,9.32,36.02,70.78,76.0,0.613,0.667,0.63,0.617,20.69,22.53,21.26,20.84,33.761,7.26,pr,predicted DNA-binding transcriptional regulator,Cytoplasmic,,46785; Winged helix
JW0010,ECK0011,b0011,yaaW,yaaW,htgA -!- htpY,64.0,0.8,22.0,,,,,,,,,,,,,26.7,10.0,o,conserved protein,Cytoplasmic,,
JW2421,ECK2423,b2428,yfeU,yfeU,,63.0,2.2,68.0,,,,,,,,,,,,,31.2,6.6,pt,predicted PTS component,Cytoplasmic,,53697; SIS domain
JW2503,ECK2515,b2519,pbpC,pbpC,yfgN,9.0,0.0,4.0,,,,,,,,,,,,,85.0,10.0,e,fused transglycosylase transpeptidase,Periplasmic,,56601; beta-Lactamase/D-ala carboxypeptidase
JW2650,ECK2669,b2675,nrdE,nrdE,,8.0,0.8,68.0,4.51,5.57,19.12,78.14,1.103,1.383,0.636,0.748,88.66,111.19,51.14,60.15,80.397,6.44,e,"ribonucleoside-diphosphate reductase 2, alpha subunit",Cytoplasmic,,"48168; R1 subunit of ribonucleotide reductase, N-terminal domain 51998; PFL-like glycyl radical enzymes"
JW2459,ECK2470,b2474,ypfI,ypfI,,6.0,0.3,25.0,7.1,9.5,50.39,69.42,0.406,0.402,0.45,0.497,30.38,30.07,33.65,37.17,74.827,7.67,pe,predicted hydrolase,Cytoplasmic,,52540; P-loop containing nucleoside triphosphate hydrolases 55729; Acyl-CoA N-acyltransferases (Nat)
JW0438,ECK0442,b0448,mdlA,mdlA,mdl,9.0,0.2,15.0,,,,,,,,,,,,,65.9,6.5,pt,fused predicted multidrug transporter subunits ATP-binding components of ABC superfamily,Integral Membrane Protein,,52540; P-loop containing nucleotide triphosphate hydrolases 52540; P-loop containing nucleotide triphosphate hydrolases
JW2339,ECK2336,b2342,yfcY,yfcY,fadI,9.0,0.7,33.0,5.39,14.58,86.91,43.87,0.751,0.835,0.983,1.072,34.89,38.82,45.7,49.82,46.488,8.97,e,"beta-ketoacyl-CoA thiolase, anaerobic, subunit",Cytoplasmic,,53901; Thiolase-like
JW1571,ECK1573,b1579,intQ,intQ,,18.0,0.2,10.0,22.51,29.52,56.76,66.6,0.226,0.273,0.238,0.254,10.23,12.34,10.77,11.48,45.201,10.04,h,Qin prophage; predicted defective integrase,Cytoplasmic,,"47823; lambda integrase-like, N-terminal domain 56349; DNA breaking-rejoining enzymes"
JW1083,ECK1083,b1097,yceG,yceG,,17.0,0.6,23.0,,,,,,,,,,,,,38.2,10.0,pe,predicted aminodeoxychorismate lyase,Membrane Anchored,,
JW1394,ECK1396,b1399,paaX,paaX,ydbY,13.0,0.3,12.0,22.52,23.76,66.49,55.78,0.51,0.489,0.398,0.49,17.97,17.24,14.04,17.28,35.262,7.93,r,"DNA-binding transcriptional regulator, aryl-CoA responsive",Cytoplasmic,,46785; Winged helix
JW2815,ECK2845,b2847,yqeI,yqeI,,15.0,1.0,31.0,16.47,7.37,35.59,38.57,2.463,2.77,3.314,3.188,75.94,85.4,102.16,98.3,30.832,9.03,pr,predicted transcriptional regulator,Cytoplasmic,,"46894; C-terminal, effector domain of the bipartite response regulators"
JW1276,ECK1279,b1284,yciT,yciT,,37.0,1.9,52.0,,,,,,,,,,,,,27.6,6.8,pr,predicted DNA-binding transcriptional regulator,Cytoplasmic,,46785; Winged helix
JW2097,ECK2103,b2110,yehC,yehC,,44.0,0.6,15.0,,,,,,,,,,,,,26.6,10.3,pf,predicted periplasmic pilin chaperone,Periplasmic,,49354; PapD-like 49584; Periplasmic chaperone C-domain
JW0302,ECK0308,b0310,ykgH,ykgH,,25.0,1.2,31.0,,,,,,,,,,,,,25.6,8.0,pm,predicted inner membrane protein,Integral Membrane Protein,,
JW0551,ECK0554,b0562,ybcY,ybcY,,24.0,0.5,10.0,37.65,57.29,108.02,79.72,0.753,0.855,0.81,0.817,15.9,18.05,17.11,17.25,21.107,7.42,h,DLP12 prophage; predicted SAM-dependent methyltransferase,Cytoplasmic,,53335; S-adenosyl-L-methionine-dependent methyltransferases
JW3812,ECK3829,b3835,ubiB,ubiB,aarF -!- fre -!- yigQ -!- yigS -!- yigR -!- yigQ12 -!- yigQRS,18.0,0.2,14.0,,,,,,,,,,,,,63.1,9.5,e,2-octaprenylphenol hydroxylase,Integral Membrane Protein,,56112; Protein kinase-like (PK-like)
JW1742,ECK1751,b1753,ynjA,ynjA,,41.0,1.0,20.0,,,,,,,,,,,,,20.5,8.8,d,conserved protein,Cytoplasmic,,69118; Antioxidant defence protein AhpD
JW2479,ECK2490,b2494,yfgC,yfgC,,11.0,0.6,33.0,,,,,,,,,,,,,53.9,8.7,pe,predicted peptidase,Periplasmic,,"48439; Protein prenylyltransferase 55486; Metalloproteases (zincins), catalytic domain"
JW5154,ECK1070,b1085,yceQ,yceQ,,21.0,1.6,19.0,22.43,57.76,55.49,114.82,1.681,1.598,1.887,1.88,20.33,19.33,22.82,22.74,12.096,8.73,o,predicted protein,Cytoplasmic,,
JW5310,ECK1878,b1877,yecT,yecT,,31.0,1.8,34.0,,,,,,,,,,,,,18.9,5.6,o,predicted protein,Periplasmic,,
JW0544,ECK0546,b0555,ybcS,ybcS,lycV,77.0,0.7,13.0,,,,,,,,,,,,,18.0,10.1,h,DLP12 prophage; predicted lysozyme,Periplasmic,,53955; Lysozyme-like
JW0676,ECK0677,b0689,ybfP,ybfP,,52.0,1.5,27.0,,,,,,,,,,,,,18.3,8.5,o,predicted protein,Outer Membrane Lipoprotein,,
JW3780,ECK3802,b3808,yzcX,yzcX,o161,27.0,1.0,17.0,15.3,37.11,44.58,76.01,1.449,1.291,1.657,1.265,25.11,22.37,28.71,21.92,17.327,7.98,o,predicted protein,Cytoplasmic,,
JW5079,ECK0547,b0556,rzpD,rzpD,ybcT -!- enpP,29.0,1.2,21.0,,,,,,,,,,,,,17.2,9.8,h,DLP12 prophage; predicted murein endopeptidase,Periplasmic,,
JW2989,ECK3012,b3021,ygiT,ygiT,,46.0,2.7,39.0,,,,,,,,,,,,,14.7,9.5,pr,predicted DNA-binding transcriptional regulator,Cytoplasmic,,47413; lambda repressor-like DNA-binding domains
JW5837,ECK2081,b2085,yegR,yegR,,55.0,2.3,26.0,,,,,,,,,,,,,11.5,9.5,o,predicted protein,Outer Membrane Lipoprotein,,
JW2480,ECK2491,b2495,yfgD,yfgD,,100.0,3.2,42.0,,,,,,,,,,,,,13.4,7.9,pe,predicted oxidoreductase,Cytoplasmic,,52833; Thioredoxin-like
JW1193,ECK1190,b1202,ycgV,ycgV,,17.0,0.0,4.0,12.78,20.88,10.7,142.18,0.066,0.069,0.037,0.043,6.54,6.87,3.73,4.32,99.566,5.24,pf,predicted adhesin,Cytoplasmic,,51126; Pectin lyase-like
JW1215,ECK1218,b1224,narG,narG,chlC -!- narC,30.0,0.0,5.0,11.07,39.58,27.72,116.09,0.086,0.102,0.107,0.087,12.08,14.34,15.06,12.25,140.348,6.24,e,"nitrate reductase 1, alpha subunit",Cytoplasmic,1Q16,"50692; ADC-like 53706; Formate dehydrogenase/DMSO reductase, domains 1-3"
JW1228,ECK1235,b1241,adhE,adhE,adhC -!- ana,46.0,0.2,18.0,,,,,,,,,,,,,96.0,6.7,e,fused acetaldehyde-CoA dehydrogenase iron-dependent alcohol dehydrogenase pyruvate-formate lyase deactivase,Cytoplasmic,,53720; ALDH-like 56796; Dehydroquinate synthase-like
JW1344,ECK1347,b1350,recE,recE,rac -!- sbcA -!- rmuB,51.0,0.2,17.0,,,,,,,,,,,,,96.2,4.5,h,"Rac prophage; exonuclease VIII, 5' -> 3' specific dsDNA exonuclease",Cytoplasmic,,
JW1366,ECK1367,b1372,stfR,stfR,ynaB,68.0,0.1,8.0,,,,,,,,,,,,,113.7,7.8,h,Rac prophage; predicted tail fiber protein,Cytoplasmic,,"49464; Carboxypeptidase D, a regulatory domain"
JW1372,ECK1374,b1378,ydbK,ydbK,nifJ,17.0,0.0,5.0,22.78,43.48,9.93,61.21,0.09,0.09,0.127,0.134,11.64,11.63,16.33,17.24,128.677,5.67,pc,fused predicted Fe-S subunit of pyruvate-flavodoxin oxidoreductase,Cytoplasmic,,"52518; Thiamin diphosphate-binding fold (THDP-binding) 52922; Transketolase C-terminal domain-like 53323; Pyruvate-ferredoxin oxidoreductase, PFOR, domain III 54862; 4Fe-4S ferredoxins 52518; Thiamin diphosphate-binding fold"
JW1376,ECK1378,b1381,ydbH,ydbH,,13.0,0.1,5.0,,,,,,,,,,,,,96.7,6.1,o,predicted protein,Membrane Anchored,,
JW1382,ECK1384,b1387,maoC,maoC,paaZ -!- ydbN,8.0,0.4,30.0,22.58,6.83,22.29,78.64,0.33,0.62,0.499,0.802,24.04,45.2,36.41,58.5,72.927,6.36,e,fused aldehyde dehydrogenase enoyl-CoA hydratase,Cytoplasmic,,53720; ALDH-like
JW1402,ECK1398,b1405,ydbA,ydbA_2,,28.0,0.2,26.0,19.11,91.38,74.21,55.69,0.242,0.089,0.12,0.233,27.78,10.18,13.7,26.67,114.589,4.45,su,"predicted outer membrane protein, C-ter fragment (pseudogene)",Cytoplasmic,,
JW5221,ECK1400,b1407,ydbD,ydbD,,28.0,0.1,10.0,,,,,,,,,,,,,86.6,5.6,o,predicted protein,Periplasmic,,
JW1703,ECK1711,b1713,pheT,pheT,,80.0,0.8,69.0,,,,,,,,,,,,,87.3,5.2,e,"phenylalanine tRNA synthetase, beta subunit",Cytoplasmic,,"46955; Putative DNA-binding domain 50249; Nucleic acid-binding proteins 54991; Anticodon-binding domain of PheRS 55681; Class II aaRS and biotin synthetases 56037; B3/B4 domain of PheRS, PheT"
JW1721,ECK1730,b1732,katE,katE,,43.0,0.8,65.0,,,,,,,,,,,,,84.1,5.8,e,hydroperoxidase HPII(III) (catalase),Cytoplasmic,,52317; Class I glutamine amidotransferase-like 56634; Heme-linked catalases
JW1823,ECK1833,b1834,yebT,yebT,,31.0,0.7,65.0,,,,,,,,,,,,,94.9,6.2,o,conserved protein,Membrane Anchored,,
JW1861,ECK1873,b1872,torZ,torZ,bisZ,33.0,0.0,3.0,,,,,,,,,,,,,88.9,7.3,e,"trimethylamine N-oxide reductase system III, catalytic subunit",Periplasmic,,"50692; ADC-like 53706; Formate dehydrogenase/DMSO reductase, domains 1-3"
JW1868,ECK1880,b1879,flhA,flhA,flaH,14.0,0.2,16.0,,,,,,,,,,,,,74.8,6.2,pt,predicted flagellar export pore protein,Integral Membrane Protein,,
JW1982,ECK1993,b2000,flu,flu,agn43 -!- agn -!- yeeQ -!- yzzX,33.0,0.2,23.0,,,,,,,,,,,,,106.7,6.1,h,CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter,Outer Membrane B-barrel protein,,51126; Pectin lyase-like
JW1069,ECK1067,b1082,flgK,flgK,flaS,44.0,0.7,42.0,,,,,,,,,,,,,57.8,4.6,s,flagellar hook-filament junction protein 1,Cytoplasmic,,
JW1213,ECK1216,b1222,narX,narX,frdR -!- narR -!- frd1,44.0,0.1,5.0,,,,,,,,,,,,,67.0,6.7,r,sensory histidine kinase in two-component regulatory system with NarL,Integral Membrane Protein,,55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW1255,ECK1257,b1263,trpD,trpD,trpGD,23.0,0.1,7.0,14.83,29.66,87.47,91.73,0.21,0.245,0.239,0.246,11.91,13.89,13.59,13.99,56.816,6.38,e,fused glutamine amidotransferase (component II) of anthranilate synthase anthranilate phosphoribosyl transferase,Cytoplasmic,,52317; Class I glutamine amidotransferase-like 47648; Pyrimidine nucleoside phosphorylase N-terminal domain 52418; Pyrimidine nucleoside phosphorylase central domain
JW1279,ECK1281,b1286,rnb,rnb,,49.0,0.1,7.0,,,,,,,,,,,,,72.4,5.6,e,ribonuclease II,Cytoplasmic,,50249; Nucleic acid-binding proteins
JW1287,ECK1289,b1294,sapA,sapA,,31.0,0.5,31.0,,,,,,,,,,,,,61.5,7.7,pt,predicted antimicrobial peptide transporter subunit periplasmic-binding component of ABC superfamily,Periplasmic,,53850; Periplasmic binding protein-like II
JW1407,ECK1403,b1410,ynbC,ynbC,,13.0,0.4,27.0,9.73,43.75,54.2,101.16,0.33,0.254,0.326,0.214,21.61,16.61,21.3,13.97,65.407,9.42,pe,predicted hydrolase,Cytoplasmic,,53335; S-adenosyl-L-methionine-dependent methyltransferases 53474; alpha/beta-Hydrolases
JW1420,ECK1418,b1424,mdoD,mdoD,ydcG -!- opgD -!- yzzZ,61.0,0.3,19.0,,,,,,,,,,,,,61.4,6.1,e,"glucan biosynthesis protein, periplasmic",Periplasmic,,
JW5238,ECK1473,b1479,sfcA,sfcA,mae -!- maeA,9.0,1.3,83.0,20.58,33.26,61.07,61.15,0.966,0.961,0.937,1.149,60.97,60.64,59.16,72.54,63.118,5.55,e,"malate dehydrogenase, NAD-requiring (malic enzyme)",Cytoplasmic,,"51735; NAD(P)-binding Rossmann-fold domains 53223; Aminoacid dehydrogenase-like, N-terminal domain"
JW5240,ECK1481,b1487,ddpA,ddpA,yddS,62.0,0.7,41.0,,,,,,,,,,,,,57.6,7.5,t,D-Ala-D-Ala transporter subunit periplasmic-binding component of ABC superfamily,Periplasmic,,53850; Periplasmic binding protein-like II
JW5243,ECK1492,b1498,ydeN,ydeN,,57.0,0.7,46.0,,,,,,,,,,,,,62.7,6.1,d,conserved protein,Periplasmic,,53649; Alkaline phosphatase-like
JW1504,ECK1504,b1511,ydeV,ydeV,,6.0,0.8,48.0,3.67,10.9,49.3,71.78,0.711,0.633,0.995,0.713,40.84,36.4,57.19,41.0,57.475,5.68,pe,predicted sugar kinase,Cytoplasmic,,53067; Actin-like ATPase domain
JW1604,ECK1607,b1612,fumA,fumA,,37.0,0.7,39.0,,,,,,,,,,,,,60.2,6.6,e,aerobic Class I fumarate hydratase (fumarase A),Cytoplasmic,,
JW1613,ECK1616,b1621,malX,malX,,6.0,0.3,18.0,,,,,,,,,,,,,56.6,8.7,t,fused maltose and glucose-specific PTS enzyme IIBC components,Integral Membrane Protein,,55604; Glucose permease domain IIB
JW1755,ECK1764,b1766,sppA,sppA,,14.0,0.7,47.0,,,,,,,,,,,,,67.1,6.4,e,protease IV (signal peptide peptidase),Membrane Anchored,,52096; ClpP/crotonase
JW1804,ECK1813,b1815,yoaD,yoaD,,13.0,0.4,22.0,,,,,,,,,,,,,59.7,9.1,pe,predicted phosphodiesterase,Membrane Anchored,,
JW1877,ECK1889,b1888,cheA,cheA,,89.0,0.1,10.0,,,,,,,,,,,,,71.3,4.7,r,fused chemotactic sensory histidine kinase (soluble) in two-component regulatory system with CheB and CheY,Cytoplasmic,,"47226; Histidine-containing phosphotransfer domain, HPT domain 47384; Homodimeric domain of signal transducing histidine kinase 55052; CheY-binding domain of CheA 55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/hist"
JW1898,ECK1912,b1913,uvrC,uvrC,,17.0,0.3,20.0,13.85,24.73,14.79,31.07,0.435,0.512,0.718,0.717,29.66,34.85,48.92,48.89,68.137,9.5,e,"excinuclease UvrABC, endonuclease subunit",Cytoplasmic,,"46600; C-terminal, UvrC-binding domain of UvrB 47781; RuvA domain 2-like"
JW1922,ECK1936,b1938,fliF,fliF,flaBI -!- flaAII 1 -!- flaAII.1,55.0,0.5,32.0,,,,,,,,,,,,,60.5,7.6,s,flagellar basal-body MS-ring and collar protein,Integral Membrane Protein,,
JW5832,ECK1954,b1956,yedQ,yedQ,,12.0,0.3,17.0,,,,,,,,,,,,,64.2,7.3,pr,predicted diguanylate cyclase,Integral Membrane Protein,,53383; PLP-dependent transferases
JW5336,ECK2057,b2063,yegH,yegH,,17.0,0.6,36.0,,,,,,,,,,,,,59.4,5.4,pm,fused predicted membrane proteins,Integral Membrane Protein,,54631; CBS-domain
JW1046,ECK1044,b1059,solA,solA,,73.0,0.6,26.0,,,,,,,,,,,,,40.9,5.6,e,"N-methyltryptophan oxidase, FAD-binding",Cytoplasmic,,"51905; FAD/NAD(P)-binding domain 54373; FAD-linked reductases, C-terminal domain"
JW1049,ECK1047,b1062,pyrC,pyrC,,4.0,2.2,84.0,11.2,20.54,85.49,56.57,1.5,1.485,1.772,1.188,58.19,57.61,68.75,46.08,38.787,6.24,e,dihydro-orotase,Cytoplasmic,,51556; Metallo-dependent hydrolases
JW1063,ECK1061,b1076,flgE,flgE,flaK -!- fla FV,106.0,1.6,67.0,,,,,,,,,,,,,42.0,5.0,s,flagellar hook protein,Cytoplasmic,,
JW1067,ECK1065,b1080,flgI,flgI,flaM -!- fla FIX,64.0,0.2,7.0,,,,,,,,,,,,,38.1,10.0,ps,predicted flagellar basal body protein,Periplasmic,,
JW5156,ECK1076,b1090,plsX,plsX,,15.0,1.4,54.0,16.09,26.08,53.91,81.99,1.612,1.602,1.679,1.637,61.54,61.17,64.12,62.5,38.18,9.77,pe,fatty acid/phospholipid synthesis protein,Cytoplasmic,,
JW1085,ECK1085,b1099,holB,holB,,38.0,0.8,31.0,,,,,,,,,,,,,36.9,7.1,e,"DNA polymerase III, delta prime subunit",Cytoplasmic,,"48019; DNA polymerase III clamp loader subunits, C-terminal domain 52540; P-loop containing nucleotide triphosphate hydrolases"
JW1087,ECK1087,b1101,ptsG,ptsG,CR -!- car -!- cat -!- gptA -!- umg -!- catB2 -!- glcA -!- tgl -!- umgC,3.0,0.9,45.0,,,,,,,,,,,,,50.6,9.2,t,fused glucose-specific PTS enzyme IIBC components,Integral Membrane Protein,,55604; Glucose permease domain IIB
JW1093,ECK1093,b1107,nagZ,nagZ,ycfO,12.0,1.0,37.0,21.4,29.66,92.56,51.46,1.037,1.059,1.155,1.667,38.93,39.78,43.38,62.6,37.556,6.36,e,beta N-acetyl-glucosaminidase,Cytoplasmic,,51445; (Trans)glycosidases
JW5820,ECK1099,b1113,ycfS,ycfS,,63.0,0.5,16.0,,,,,,,,,,,,,34.6,9.5,d,conserved protein,Periplasmic,,54106; LysM domain
JW1112,ECK1112,b1126,potA,potA,,94.0,0.1,6.0,,,,,,,,,,,,,43.0,5.6,t,polyamine transporter subunit ATP-binding component of ABC superfamily,Cytoplasmic,,52540; P-loop containing nucleotide triphosphate hydrolases
JW1114,ECK1114,b1128,ycfD,ycfD,,81.0,0.1,6.0,,,,,,,,,,,,,42.5,4.8,d,conserved protein,Cytoplasmic,,51182; RmlC-like
JW1115,ECK1115,b1129,phoQ,phoQ,,20.0,0.6,33.0,,,,,,,,,,,,,55.2,6.0,r,sensory histidine kinase in two-compoent regulatory system with PhoP,Integral Membrane Protein,,55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW1119,ECK1119,b1133,trmU,trmU,asuE -!- mnmA -!- ycfB,68.0,1.0,40.0,,,,,,,,,,,,,40.9,5.2,e,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,Cytoplasmic,,52402; Adenine nucleotide alpha hydrolases
JW1122,ECK1122,b1136,icd,icd,icdA -!- icdE -!- icdR -!- icdC,96.0,0.2,9.0,,,,,,,,,,,,,45.7,5.6,h,"e14 prophage; isocitrate dehydrogenase, specific for NADP+",Cytoplasmic,1PB3,53659; Isocitrate & isopropylmalate dehydrogenases
JW1135,ECK1135,b1149,ymfN,ymfN,,18.0,1.3,64.0,7.33,17.07,22.59,62.41,1.418,1.515,2.085,1.212,72.02,76.95,105.93,61.56,50.805,5.29,h,e14 prophage; predicted DNA-binding transcriptional regulator,Cytoplasmic,,46785; Winged helix
JW1177,ECK1176,b1188,ycgB,ycgB,,3.0,0.6,34.0,4.79,23.6,35.56,54.02,0.844,0.703,0.954,0.763,51.28,42.71,57.92,46.37,60.747,6.02,o,conserved protein,Cytoplasmic,,
JW1179,ECK1178,b1190,dadX,dadX,alnA -!- alnB -!- dadB,3.0,1.8,69.0,1.85,11.18,36.14,24.81,2.097,1.753,1.884,1.278,81.38,68.04,73.12,49.6,38.808,7.35,e,"alanine racemase 2, PLP-binding",Cytoplasmic,,"50621; Alanine racemase-like, C-terminal domain 51419; PLP-binding barrel"
JW5185,ECK1186,b1198,dhaH,dhaH,dhaM -!- ycgC -!- ptsD,74.0,0.6,31.0,,,,,,,,,,,,,51.4,4.6,pt,fused predicted dihydroxyacetone-specific PTS enzyme HPr component EI component,Cytoplasmic,,53901; Thiolase-like 47831; Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain 52009; Phosphohistidine domain 53901; Thiolase-like 55594; HPr-like
JW1194,ECK1191,b1203,ychF,ychF,gtp1,63.0,2.2,88.0,,,,,,,,,,,,,39.6,5.0,pf,predicted GTP-binding protein,Cytoplasmic,,52540; P-loop containing nucleotide triphosphate hydrolases
JW1211,ECK1214,b1220,ychP,ychP,ychO,7.0,0.6,30.0,7.57,24.77,30.27,61.58,0.781,0.97,1.143,0.889,36.7,45.56,53.68,41.74,46.967,5.73,pf,predicted invasin,Cytoplasmic,,
JW1223,ECK1230,b1235,rssB,rssB,hnr -!- mviA -!- sprE -!- ychI -!- ychL,79.0,0.2,9.0,,,,,,,,,,,,,37.3,6.3,r,response regulator of RpoS,Cytoplasmic,,52172; CheY-like
JW1241,ECK1243,b1249,cls,cls,nov -!- yciJ,4.0,0.5,27.0,,,,,,,,,,,,,54.8,8.5,e,cardiolipin synthase 1,Integral Membrane Protein,,56024; Phospholipase D/nuclease
JW1253,ECK1255,b1261,trpB,trpB,,42.0,1.6,70.0,,,,,,,,,,,,,42.9,6.2,e,"tryptophan synthase, beta subunit",Cytoplasmic,,53686; Tryptophan synthase beta subunit-like PLP-dependent enzymes
JW1254,ECK1256,b1262,trpC,trpC,,19.0,1.1,53.0,21.7,31.31,78.78,75.98,1.531,1.325,1.41,1.541,75.49,65.31,69.5,75.99,49.305,6.04,e,fused indole-3-glycerolphosphate synthetase N-(5-phosphoribosyl)anthranilate isomerase,Cytoplasmic,1PII,51366; Ribulose-phoshate binding barrel 51366; Ribulose-phoshate binding barrel
JW1256,ECK1258,b1264,trpE,trpE,anth -!- tryD -!- tryp-4,66.0,0.3,19.0,,,,,,,,,,,,,57.4,5.7,e,component I of anthranilate synthase,Cytoplasmic,,56322; ADC synthase
JW1272,ECK1275,b1280,yciM,yciM,,9.0,1.4,62.0,,,,,,,,,,,,,44.5,6.6,d,conserved protein,Periplasmic,,48452; TPR-like
